Attribute,Value
fiftyTwoWeekHigh,23.84
priceToSalesTrailing12Months,4.670017
fiftyDayAverage,22.0022
twoHundredDayAverage,21.58445
trailingAnnualDividendRate,1.92
trailingAnnualDividendYield,0.09556993
currency,USD
tradeable,False
enterpriseValue,26851225600
profitMargins,0.50903
sharesOutstanding,684478016
sharesShort,15540111
sharesShortPriorMonth,16309592
sharesShortPreviousMonthDate,1740700800
dateShortInterest,1743379200
sharesPercentSharesOut,0.0227
heldPercentInsiders,0.00555
heldPercentInstitutions,0.30329
shortRatio,3.12
shortPercentOfFloat,0.0228
impliedSharesOutstanding,684478016
bookValue,19.874
priceToBook,1.0264667
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,-0.136
netIncomeToCommon,1522000000
trailingEps,2.44
forwardEps,2.2
enterpriseToRevenue,8.98
52WeekChange,-0.009227753
SandP52WeekChange,0.0635103
lastDividendValue,0.48
lastDividendDate,1741910400
quoteType,EQUITY
currentPrice,20.4
targetHighPrice,26.0
targetLowPrice,21.0
targetMeanPrice,23.26923
targetMedianPrice,23.0
recommendationMean,1.71429
recommendationKey,buy
numberOfAnalystOpinions,13
totalCash,635000000
totalCashPerShare,0.946
totalDebt,13788000256
quickRatio,0.42
currentRatio,0.502
totalRevenue,2990000128
debtToEquity,103.242
revenuePerShare,4.792
returnOnAssets,0.052610002
returnOnEquity,0.123959996
grossProfits,2990000128
freeCashflow,838124992
operatingCashflow,-2128000000
earningsGrowth,-0.227
revenueGrowth,0.074
grossMargins,1.0
ebitdaMargins,0.0
operatingMargins,0.7365
financialCurrency,USD
symbol,ARCC
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
hasPrePostMarketData,True
firstTradeDateMilliseconds,1096983000000
corporateActions,[]
postMarketTime,1744934282
regularMarketTime,1744920002
exchange,NMS
messageBoardId,finmb_9771238
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChangePercent,1.5430536
regularMarketPrice,20.4
shortName,Ares Capital Corporation
longName,Ares Capital Corporation
postMarketChangePercent,0.253434
postMarketPrice,20.4517
postMarketChange,0.0517006
regularMarketChange,0.30999947
regularMarketDayRange,20.11 - 20.5085
fullExchangeName,NasdaqGS
averageDailyVolume3Month,5533703
fiftyTwoWeekLowChange,2.1399994
fiftyTwoWeekLowChangePercent,0.11719602
fiftyTwoWeekRange,18.26 - 23.84
fiftyTwoWeekHighChange,-3.4400005
fiftyTwoWeekHighChangePercent,-0.14429532
fiftyTwoWeekChangePercent,-0.92277527
dividendDate,1743379200
earningsTimestamp,1745929800
earningsTimestampStart,1745929800
earningsTimestampEnd,1745929800
earningsCallTimestampStart,1745942400
earningsCallTimestampEnd,1745942400
isEarningsDateEstimate,False
epsTrailingTwelveMonths,2.44
epsForward,2.2
epsCurrentYear,2.15825
priceEpsCurrentYear,9.452102
fiftyDayAverageChange,-1.6021996
fiftyDayAverageChangePercent,-0.07281997
twoHundredDayAverageChange,-1.1844501
twoHundredDayAverageChangePercent,-0.05487516
sourceInterval,15
exchangeDataDelayedBy,0
averageAnalystRating,1.7 - Buy
cryptoTradeable,False
marketState,CLOSED
displayName,Ares Capital
trailingPegRatio,
